Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;JONYCELL;Celulares;Samsung;Celular;850.00;Desistimiento;;17-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;13-ene-2025;Ene 25;Incumplimiento de servicio;REPARO TU EQUIPO PTY;Celulares;No se Registro;Celular;60.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Vicio oculto;PROMOTORA CPM, S.A.;Inmobiliarias;No se Registro;No se Registro;481.50;En proceso;;;;;2025
Veracidad;Panamá;Ley 45 de 2007;16-ene-2025;Ene 25;Veracidad de la publicidad;US POLO ASSN SINCE 1980;Almacén de ropa y calzados;No se Registro;Zapatos;39.96;Acuerdo en audiencia/Varios;;25-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Falta de información;THE PUMA STORE;Almacén de ropa y calzados;No se Registro;No se Registro;161.96;Pendiente constancia desistimiento;161.96;21-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;GRUPO DE COMUNICACIONES DIGITALES, S.A.;Telefonia;Iphone;Aire acondicionado;1,016.45;Pendiente constancia desistimiento;;12-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;RAENCO;Electrodomésticos/equipos electrónicos;Dell;Laptop;514.23;Desistimiento;;03-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;ZAUAYA, S.A.;Almacén por departamentos;No se Registro;Abanico;13.90;Pendiente constancia desistimiento;;24-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;CABLE & WIRELESS PANAMÁ;Telefonia;Honor;Aire acondicionado;1,069.99;Acuerdo/Reemplazo;;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;15-ene-2025;Ene 25;Incumplimiento de garantía;CALVIN KLEIN;Almacén de ropa y calzados;No se Registro;No se Registro;34.50;Pendiente constancia desistimiento;;17-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Falta de información;MULTIMAX;Electrodomésticos/equipos electrónicos;HP;Laptop;385.00;Resolución/Reparar;;19-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;15-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Televisor;139.05;Desistimiento;;24-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Vicio oculto;MAC INSTRUMENTS INDUSTRY, INC.;Inmobiliarias;No se Registro;No se Registro;4,120.00;Acuerdo/Reparación;;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-ene-2025;Ene 25;Incumplimiento de garantía;SHALOM, S.A.;Electrodomésticos/equipos electrónicos;LG;Televisor;520.00;Resolución/Reemplazo;;12-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Televisor;449.35;Desistimiento;;05-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de garantía;PHOTURA;Electrodomésticos/equipos electrónicos;LG;Aire acondicionado;1,085.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de garantía;EQUIPOS DE VUELO INTELIGENTE PANAMA, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;DRON;1,249.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de servicio;PEDIDOS YA;Servicio de intermediación;No se Registro;No se Registro;47.04;Acuerdo/Devolución;47.04;21-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de garantía;DO IT CENTER;Electrodomésticos/equipos electrónicos;Mabe;Congelador;684.79;Desistimiento/Devolución;684.79;06-feb-2025;Feb 25;2025;2025
