Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Pmá Oeste;Ley 45 de 2007;10-jun-2025;Jun 25;Incumplimiento de garantía;ADIDAS;Almacén de ropa y calzados;No se Registro;Calzado;127.28;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;13-jun-2025;Jun 25;Incumplimiento de garantía;DO IT CENTER;Almacén por departamentos;No se Registro;Lavadora;1,129.48;Desistimiento;;24-oct-2025;Oct 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;16-jun-2025;Jun 25;Incumplimiento de garantía;RODELAG;Electrodomésticos/equipos electrónicos;Sankey;Dispensador de agua;89.86;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-jun-2025;Jun 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;Desistimiento;;28-oct-2025;Oct 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;27-jun-2025;Jun 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;27-jun-2025;Jun 25;Incumplimiento de servicio;AEROPOST PANAMA;Transporte (fletes, encomiendas y similares);No se Registro;No se Registro;35.32;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;11-jul-2025;Jul 25;Venta engañosa;ELECTRONICA NEWTON;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;19.24;Desistimiento/Devolución;19.24;10-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;01-jul-2025;Jul 25;Incumplimiento de garantía;DURAN'S GARAGE S.A.;Taller de reparación de autos;Audi;Automóvil;1,992.60;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;02-jul-2025;Jul 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;25,499.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;02-jul-2025;Jul 25;Incumplimiento de garantía;REPUESTOS EL MEJOR;Repuestos para autos;Hyundai;Automóvil;69.64;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-jul-2025;Jul 25;Incumplimiento de garantía;AUTO SERVICIOS GENESIS;Taller de reparación de autos;Toyota;Automóvil;10,016.05;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-jul-2025;Jul 25;Incumplimiento de garantía;MOTION MOTORS, S.A.;Agencia de autos;Kaiyi;Automóvil;22,459.30;Desistimiento;;15-oct-2025;Oct 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;04-jul-2025;Jul 25;Incumplimiento de servicio;RAYO IMPORT, S.A.;Taller de reparación de autos;Hyundai;Automóvil;2,305.49;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-jul-2025;Jul 25;Incumplimiento de garantía;MK MOTORS PTY;Venta de autos usados;Toyota;Automóvil;11,500.00;Transacción extrajudicial;;06-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-jul-2025;Jul 25;Incumplimiento de garantía;PETROMOTORS, S.A.;Agencia de autos;Jetour;Automóvil;24,500.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;08-jul-2025;Jul 25;Incumplimiento de servicio;TALLER CAR CARE MOTOR SPORT, S.A.;Taller de reparación de autos;Chevrolet;Automóvil;491.86;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;08-jul-2025;Jul 25;Falta de información;BAHIA MOTORS;Agencia de autos;Honda;Automóvil;2,807.62;Desistimiento;;09-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;08-jul-2025;Jul 25;Incumplimiento de garantía;CAR SHOP;Venta de autos usados;Hyundai;Automóvil;9,800.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;08-jul-2025;Jul 25;Incumplimiento de garantía;DISTRIBUIDORA DE MOTORES S.A./ FAT CAR;Venta de autos usados;Hyundai;Automóvil;8,195.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;09-jul-2025;Jul 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;18,299.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;09-jul-2025;Jul 25;Incumplimiento de servicio;TRANSMISIONES AUTOMATICAS PTY, S.A.;Taller de reparación de autos;Ford;Automóvil;4,258.60;Desistimiento;;10-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;09-jul-2025;Jul 25;Falta de información;GRÚAS TIN TOWING;Agencia de autos;No se Registro;Automóvil;1,000.00;Desistimiento;;02-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;09-jul-2025;Jul 25;Falta de información;TALLER Y GRUAS DE LA 24 DE DICIEMBRE S.A.;Taller de reparación de autos;KIA;Automóvil;2,168.25;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;10-jul-2025;Jul 25;Falta de información;GRUPO SILABA;Agencia de autos;KIA;Automóvil;1,050.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-jul-2025;Jul 25;Incumplimiento de garantía;CAR MARKET;Venta de autos usados;Toyota;Automóvil;17,150.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-jul-2025;Jul 25;Custodia de bien;CARMASTER PANAMA, S.A.;Taller de reparación de autos;Chevrolet;Automóvil;682.03;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-jul-2025;Jul 25;Incumplimiento de garantía;AUTOMOTORA AUTOSTAR, S.A.;Agencia de autos;Maxus;Automóvil;3,495.74;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;15-jul-2025;Jul 25;Incumplimiento de garantía;GRUPO TECNICAR S.A.;Venta de autos usados;KIA;Automóvil;8,720.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;15-jul-2025;Jul 25;Incumplimiento de garantía;INVERSIONES 138 S.A.;Repuestos para autos;Hyundai;Automóvil;181.90;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-jul-2025;Jul 25;Incumplimiento de garantía;HZ MOTORS;Venta de autos usados;KIA;Automóvil;7,000.00;Desistimiento;;15-oct-2025;Oct 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-jul-2025;Jul 25;Incumplimiento de garantía;INVERSIONES IRM S.A.;Venta de autos usados;Nissan;Automóvil;5,500.00;Desistimiento;;15-oct-2025;Oct 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-jul-2025;Jul 25;Incumplimiento de garantía;RASTRO MULTIMOTORES;Repuestos para autos;KIA;Automóvil;2,354.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-jul-2025;Jul 25;Falta de información;CMG MOTORS GROUP;Agencia de autos;JEEP;Automóvil;3,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-jul-2025;Jul 25;Custodia de bien;FCC INNOVACION;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;70.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-jul-2025;Jul 25;Incumplimiento de garantía;GRUPO SILABA / GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Chevrolet;Automóvil;20,994.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-jul-2025;Jul 25;Custodia de bien;SPEED & SOUND ELECTRONIC;Repuestos para autos;Ford;Automóvil;70.53;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-jul-2025;Jul 25;Incumplimiento de servicio;FOR AUTO PANAMA, S.A.;Taller de reparación de autos;Ford;Automóvil;3,725.35;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;22-jul-2025;Jul 25;Custodia de bien;MPH MOTOPARTES Y ACCESORIOS;Taller de reparación de autos;Yamaha;Moto;255.52;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;23-jul-2025;Jul 25;Falta de información;CTS DEL ISTMO, S.A.;Agencia de autos;Kaiyi;Automóvil;28,405.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;23-jul-2025;Jul 25;Custodia de bien;AUTOS COOL, S.A;Venta de autos usados;Toyota;Automóvil;2,916.47;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-jul-2025;Jul 25;Incumplimiento de garantía;JUAN´S CARS;Venta de autos usados;Hyundai;Automóvil;7,450.23;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-jul-2025;Jul 25;Incumplimiento de garantía;ROCK CARS AUTOS USADOS;Venta de autos usados;KIA;Automóvil;6,420.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-jul-2025;Jul 25;Incumplimiento de garantía;COMPAÑIA CHIRICANA DE AUTOMOVILES;Agencia de autos;Mitsubishi;Automóvil;1,200.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-jul-2025;Jul 25;Incumplimiento de garantía;LEVEL UP 360. S.A.;Venta de autos usados;KIA;Automóvil;7,300.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;25-jul-2025;Jul 25;Incumplimiento de garantía;PANAMOTOR;Agencia de autos;Nissan;Automóvil;590.94;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;25-jul-2025;Jul 25;Incumplimiento de garantía;MOTORES JAPONESES;Agencia de autos;Suzuki;Automóvil;27,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-jul-2025;Jul 25;Incumplimiento de servicio;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;4,000.25;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-jul-2025;Jul 25;Cobro indebido;GRUPO AUTO COMERCIAL, S.A.;Agencia de autos;Fiat;Automóvil;212.83;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-jul-2025;Jul 25;Incumplimiento de garantía;GRUPO SILABA;Agencia de autos;KIA;Automóvil;29,345.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-jul-2025;Jul 25;Incumplimiento de servicio;CLINICA AUTOMOTRIZ CAMACARO PANAMA;Taller de reparación de autos;Ford;Automóvil;1,926.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-jul-2025;Jul 25;Incumplimiento de garantía;SALGADO CARS & SYM;Venta de autos usados;Mercedez Benz;Automóvil;8,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;29-jul-2025;Jul 25;Incumplimiento de garantía;CAR MARKET;Venta de autos usados;Mercedez Benz;Automóvil;3,800.00;Desistimiento;;14-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-jul-2025;Jul 25;Incumplimiento de garantía;GRUPO SILABA;Agencia de autos;KIA;Automóvil;23,295.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-jul-2025;Jul 25;Incumplimiento de servicio;ELECTROMECANICA J. CASTILLO SUC;Taller de reparación de autos;Suzuki;Automóvil;130.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-jul-2025;Jul 25;Incumplimiento de garantía;MOTOS JONY S.A./MOTOYA S.A.;Agencia de motos;Xmotors;Moto;2,648.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-jul-2025;Jul 25;Incumplimiento de servicio;RASTRO BLUE JAY;Taller de reparación de autos;Suzuki;Automóvil;700.00;Acuerdo en audiencia/Devolución de dinero;;14-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;31-jul-2025;Jul 25;Vicio oculto;DISTRIBUIDORA AUTOMOTRIZ FORTUNE;Agencia de autos;Changan;Automóvil;910.70;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;31-jul-2025;Jul 25;Falta de información;AUTO AIRE INTER COOLER, S.A.;Taller de reparación de autos;Hyundai;Automóvil;90.95;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;31-jul-2025;Jul 25;Falta de información;EMPRESAS CARBONE, S.A.;Agencia de autos;Dongfeng;Automóvil;280.00;Acuerdo en audiencia/Devolución de dinero;;14-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;02-jul-2025;Jul 25;Incumplimiento de garantía;TECNOBYTE STORE, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Refrigeradora;1,132.81;Acuerdo en audiencia/Reemplazo;;04-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;02-jul-2025;Jul 25;Incumplimiento de garantía;GAES PANAMA, S.A.;Equipo médico;No se Registro;Audifonos;2,293.35;Acuerdo en audiencia/Varios;;18-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;02-jul-2025;Jul 25;Custodia de bien;MAC STORE;Celulares;Iphone;Celular;1,751.70;Pendiente constancia desistimiento;;01-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;03-jul-2025;Jul 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Lavadora;588.51;Desistimiento;;11-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Incumplimiento de garantía;E-VISION,S.A.;Electrodomésticos/equipos electrónicos;LG;Secadora;515.04;Desistimiento;;04-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Estufa;908.43;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;02-jul-2025;Jul 25;Falta de información;NEXT MODELS AGENCY;Cursos especializados (karate,cocina,seminario,etc);No se Registro;No se Registro;495.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Incumplimiento de servicio;CENTROS DE SERVICIO PANAMA;Repuestos y reparaciones (talleres varios no autos);Whirlpool;Lavadora;335.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Falta de información;INMOBILIARIA Q, S.A.;Inmobiliarias;No se Registro;No se Registro;1,968.80;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;155.12;Desistimiento/Devolución;155.12;09-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Vicio oculto;LUCKY ACES INC;Inmobiliarias;No se Registro;No se Registro;368.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;04-jul-2025;Jul 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;Acuerdo en audiencia/Varios;;05-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Falta de información;AIR EUROPA;Líneas aéreas;No se Registro;No se Registro;1,891.29;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;07-jul-2025;Jul 25;Incumplimiento de garantía;STARCELL PANAMA;Celulares;Iphone;Celular;829.25;Acuerdo en audiencia/Varios;;04-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;24.66;Acuerdo en audiencia/Varios;;04-sep-2025;Sep 25;2025;2025
Veracidad;Panamá;Ley 45 de 2007;29-jul-2025;Jul 25;Veracidad de la publicidad;OFERTA SIMPLE;Servicio de intermediación;No se Registro;No se Registro;81.00;Pendiente constancia desistimiento;;30-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Vicio oculto;ZYNC PROPERTY CORP;Inmobiliarias;No se Registro;No se Registro;3,364.85;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Incumplimiento de garantía;COOL GADGETS & CELLS;Celulares;Poco;Celular;328.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Samsung;Lavadora;378.78;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Incumplimiento de servicio;SERVICIOS TECNICOS INDUSTRIALES;Repuestos y reparaciones (talleres varios no autos);Royal;Aire acondicionado;1,361.71;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;09-jul-2025;Jul 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;RCA;Televisor;449.39;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;08-jul-2025;Jul 25;Incumplimiento de garantía;AUROSPORT;Almacén de ropa y calzados;No se Registro;Zapatos;131.61;Acuerdo/Devolución;131.16;17-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;08-jul-2025;Jul 25;Incumplimiento de garantía;PROMOTORA PACIFICA 1, S.A.;Inmobiliarias;No se Registro;No se Registro;2,359.86;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;11-jul-2025;Jul 25;Incumplimiento de garantía;CORPORACION SELECTO PANAMA S.A.;Almacén por departamentos;No se Registro;No se Registro;508.25;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;11-jul-2025;Jul 25;Incumplimiento de garantía;SUPERMERCADO REY;Supermercados;No se Registro;No se Registro;42.75;Pendiente constancia desistimiento;;01-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-jul-2025;Jul 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Samsung;Refrigeradora;442.98;Acuerdo en audiencia/Varios;;01-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-jul-2025;Jul 25;Incumplimiento de garantía;EMPRESAS CARBONE, S.A.;Almacén por departamentos;No se Registro;No se Registro;160.49;Desistimiento;;09-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-jul-2025;Jul 25;Incumplimiento de servicio;MP MULTISERVICIOS PEDROZA;Herrerías;No se Registro;No se Registro;1,167.50;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-jul-2025;Jul 25;Incumplimiento de garantía;MOBILES ETC;Celulares;REDMI;Celular;288.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-jul-2025;Jul 25;Falta de información;AIR EUROPA;Líneas aéreas;No se Registro;No se Registro;219.90;Pendiente constancia desistimiento;;01-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;10-jul-2025;Jul 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;LG;Televisor;589.97;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;22-jul-2025;Jul 25;Cobro indebido;PORTAL DEL SOL INVESTMENT, S.A.;Inmobiliarias;No se Registro;No se Registro;2,153.45;Inhibe;;29-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-jul-2025;Jul 25;Cobro indebido;UBER;Servicios de transporte particular;No se Registro;No se Registro;50.14;Desistimiento/Devolución;50.14;07-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-jul-2025;Jul 25;Incumplimiento de garantía;TECNOBOX KL;Celulares;Samsung;Celular;145.00;Acuerdo en audiencia/Reparación;;05-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;17-jul-2025;Jul 25;Falta de información;CORPORACION SELECTO PANAMA S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Máquina de moler;106.95;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Custodia de bien;I SHOP TOWN CENTER;Celulares;No se Registro;No se Registro;108.00;Acuerdo/Reemplazo;;14-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;15-jul-2025;Jul 25;Falta de información;RODELAG;Almacén por departamentos;Mystic;Aire acondicionado;427.99;Acuerdo en audiencia/Varios;;09-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;15-jul-2025;Jul 25;Falta de información;HAIR TO WEAR BEAUTY SUPPLY;Salón de belleza;No se Registro;No se Registro;96.25;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-jul-2025;Jul 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;LG;Televisor;588.49;Pendiente constancia desistimiento;;04-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-jul-2025;Jul 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;Samsung;Celular;17.87;Acuerdo en audiencia/Varios;;14-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;Desistimiento;;14-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;17-jul-2025;Jul 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Whirlpool;Lavadora;426.94;Desistimiento;;24-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Incumplimiento de servicio;BLACK DOG;Animales;No se Registro;No se Registro;79.30;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;LG;Lavadora;599.97;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;17-jul-2025;Jul 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;No se Registro;Centro de lavado;405.54;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;17-jul-2025;Jul 25;Falta de información;ENG&LAW INVESTMENTS, S.A.;Opticas;No se Registro;No se Registro;80.25;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Incumplimiento de garantía;MOVIL MAX;Celulares;Xiaomi;Celular;568.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Resolución de contrato;COMUNICACIONES METROPOLITANAS INC.;Tv por cable;No se Registro;No se Registro;44.99;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Cobro indebido;SUBWAY;Restaurantes / fondas;No se Registro;No se Registro;100.00;Desistimiento/Devolución;100.00;14-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Incumplimiento de garantía;TITAN PANAMÁ;Almacén por departamentos;Hisense;Congelador;513.59;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Incumplimiento de garantía;DIGITAL HOGAR;Almacén por departamentos;Nisato;Lavadora;203.25;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Falta de información;FELIX B. MADURO;Almacén por departamentos;No se Registro;No se Registro;2,769.88;Inhibe;;09-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Cobro indebido;MC DONALD'S;Restaurantes / fondas;No se Registro;No se Registro;72.72;Desistimiento/Devolución;72.22;01-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;18-jul-2025;Jul 25;Cobro indebido;CMF SOLUCIONES FINANCIERAS;Almacén por departamentos;No se Registro;No se Registro;291.84;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Custodia de bien;ELECTRONICA COMPUTACION Y COMUNICA, S.A.;Repuestos y reparaciones (talleres varios no autos);Asus;Laptop;705.50;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-jul-2025;Jul 25;Vicio oculto;METRO PACIFIC RESIDENCES  INC;Inmobiliarias;No se Registro;No se Registro;2,566.24;Inhibe;;11-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-jul-2025;Jul 25;Incumplimiento de garantía;FOTO SONIDO;Electrodomésticos/equipos electrónicos;Hotline;Televisor;278.20;Desistimiento;;18-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-jul-2025;Jul 25;Incumplimiento de servicio;HOJALATERIA BEM, S.A.;Servicios Profesionales;No se Registro;No se Registro;1,030.00;Acuerdo en audiencia/Varios;;17-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-jul-2025;Jul 25;Incumplimiento de garantía;TECNOBYTE STORE, S.A.;Electrodomésticos/equipos electrónicos;Samsung;Refrigeradora;481.49;Pendiente constancia desistimiento;;02-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;29-jul-2025;Jul 25;Falta de información;LA FAMILIA PAWN AND JEWELRY;Celulares;Samsung;Celular;84.99;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-jul-2025;Jul 25;Incumplimiento de garantía;PREMIER;Electrodomésticos/equipos electrónicos;Premier;Lavadora;160.49;Desistimiento;;19-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;28-jul-2025;Jul 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;32.00;Acuerdo en audiencia/Varios;;05-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;28-jul-2025;Jul 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;LG;Estufa;1,015.43;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-jul-2025;Jul 25;Incumplimiento de garantía;SUPERMERCADO REY;Supermercados;No se Registro;No se Registro;64.15;Acuerdo en audiencia/Reemplazo;;04-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;31-jul-2025;Jul 25;Falta de información;COPA AIRLINES;Líneas aéreas;No se Registro;No se Registro;356.60;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;29-jul-2025;Jul 25;Incumplimiento de garantía;PIAG PANAMA, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;775.71;Desistimiento/Devolución;775.71;11-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;29-jul-2025;Jul 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;22.00;Desistimiento;;01-sep-2025;Sep 25;2025;2025
